ID,flavor_sweet,flavor_sour,flavor_bitter,flavor_pleasant,flavor_grassy,flavor_citrusy,flavor_terpene-like,Group_name,Brix/Acid,ethyl_acetate,methyl_butanoate,alpha-pinene,ethyl_butanoate,hexanal,beta-pinene,myrcene,limonene,(E)-2-hexenal,ethyl_hexanoate,gamma-terpinene,beta-cis-ocimene,p-cymene,terpinolene,octanal,1-hexanol,(Z)-3-hexen-1-ol,nonanal,ethyl_octanoate,p-cymenene,delta-elemene,alpha-cubebene,octyl_acetate,citronellal,alpha-copaene,decanal,linalool,1-octanol,caryophyllene,beta-elemene,terpinen-4-ol,undecanal,gamma-elemene,(E)-2-decenal,humulene,cis-beta-farnesene,neral,alpha-terpineol,valencene,dodecanal,D-carvone,geranial,delta_cadinene,citronellol,perillal,nerol,cis-carveol,"p-mentha-1,8-dien-3-one",geraniol,perilla_acetate,"cis-p-mentha-1(7),8-dien-2-ol","p-mentha-1(7),8(10)-dien-9-ol",caryophyllene_oxide,"p-mentha-1(7),8(10)-dien-9-ol",elemol,thymol,"2,6-dimethyl-10-methylene-2,6,11-dodecatrenal",alpha-sinensal,nootkatone,Fructose,Glucose,Sucrose,Xylose,Raffinose,Rhamnose,Myoinositol,Sorbitol,Erythritol,Xylitol,Proline,Arginine,Aspartic_acid,Asparatine,Alanine,Glutamic_acid,Serine,Lysine,Glutamine,Valine,Phenylalanine,Tryptophan,Threonine,Leucine,Tyrosine,Histidine,Isoleucine,Methionine
5393052,14.2,20.7,10.8,18.4,16.5,21.2,13,orange,9.89,0,0,33.64,5.95,1.16,7.91,187.79,6990.86,0,0,371.49,9.49,78.54,44.19,37.64,0,0,15.25,0,4.91,0,0,0,0,7.69,27.22,417.76,33.58,0,0,41.5,0,0,0,0,0,0,56.2,18.65,0,0,11.23,13.82,10.04,14.44,15.9,0,1.08,1.73,0,0.83,0,0,0,0,0,0,0,0,8759.81,21606.98,13997.14,147.83,11.18,7.13,536.91,137.37,94.57,46.53,137.75,196.6,242.02,570.84,24.39,63.33,37.53,38.04,30.92,9.61,29.36,7.05,3.68,3.13,3.17,4.42,1.12,0.61
9203419,14.8,28,10.4,17,12.2,18.9,11.4,orange,10.37,0,0,3.13,1.16,0.49,0.45,11.6,577.38,0,0,20.93,0,0.68,2.72,0,0,0.67,0,0,0,0,0,0,0,0,0,52.67,3,0,0,4.26,0,0,0,0,0,0,5.68,2.59,0,0,4.22,0,0,0,1.28,0,0.36,0.22,0,0.23,0,0,0,0,0,0,0,0,8237.75,18395.84,10143.69,143.89,11.49,3.43,486.37,130.57,92.23,59.64,105.79,158.39,220.87,548.27,14.74,58.71,27.78,34.2,25.97,8.14,38.18,15.46,3.75,3.47,3.08,4.43,1,0.69
2289848,11.2,21.8,10.1,16.8,13.8,19.2,12,orange,9.54,0,0,5.25,1.66,0.57,0.5,25.4,1065.31,0,0,49.2,1.97,1.27,5.23,0,0,0.53,0,0,0,0,0,0,0,0,0,97.99,5.2,0,0,7.84,0,0,0,0,0,0,9.96,3.26,0,0,4.69,0,0,0,2.32,0,0.32,0.33,0,0.27,0,0,0,0,0,0,0,0,9189.56,20409.86,11802.27,155.94,12.1,3.99,526.19,134.68,69.61,66.33,134.23,194.9,277.65,629.71,21.17,73.53,36.96,40.58,37.14,10.17,42.73,15.9,4.59,3.79,3.57,5.47,1.11,0.84
6455915,25.3,12.8,6.5,22.6,12.3,19.1,8.7,orange,12.88,0,0,10.24,5.88,21.4,4.87,57.92,2351.95,6.27,0,1.98,1.76,3.09,4.64,0.52,2.53,3.65,1.95,0,1.08,0,0,0,1.98,2.8,2.99,183.52,7.61,0,0,9.19,0,0,0,0,0,5.85,9.28,28.29,0,0,13.66,0,3.48,4.28,1.99,0.96,0,1.86,0,0.89,0.9,0,0,0,0,0,0,0,7172.62,16515.45,12380.99,122.42,23.12,10.94,451.25,101.36,76.69,51.07,168.06,95.93,177.33,281.13,24.04,64.48,27.57,17.64,17.89,10.31,12.57,3.37,2.79,3.44,3.45,1.76,1.17,0.7
4491987,23.5,13.3,6.4,23.5,8.5,19.2,8.1,orange,12.73,0,0,12.55,3.64,14.68,8.91,61.6,2740.56,1,0,4.32,1.32,3.43,6.03,3.34,2.84,2.74,4.16,0,0,0,0,0,0.93,0,4.06,102.29,10.12,0,0,4.49,0,0,0,0,0,2.54,4.65,15.53,0,0,7.78,0,0.28,2.58,2.59,0.5,0,0.98,0,0.44,0.53,0,0,0,0,0,0,0,10288,23193.25,18162.79,167.31,56.7,16.37,706.02,177.17,137.8,71.37,195.69,140.33,247.55,327.11,28.66,85.49,36.59,25.2,27.01,15.51,17.56,8.15,2.77,5.34,4.85,3.56,1.77,1.04
4018092,23.2,12.3,6,28.3,12.9,18.3,7.9,orange,14.14,0,0,11.97,5.35,28.7,5.97,57.53,2416.03,4.7,0,3.7,1.08,5.03,5.54,3.73,5.35,6.06,4.67,0,0,0,0,0,0,0,2.32,90.6,7.73,0,0,3.95,0,0,0,0,0,3.2,4.85,20.01,0,0,9.81,0,2.5,2.32,2.13,1.59,0,1.37,0,0.89,0.61,0,0,0,0,0,0,0,10053.91,21497.83,16436.77,161.3,36.1,14.93,599.39,151.94,163.07,59.69,157.4,121.46,218.22,273.59,25.35,70.9,33.74,23.17,24.42,13.27,13.5,5.06,2.43,5.07,4.27,2.86,1.63,1.11
8429829,25.2,12.5,2.8,19.5,11.1,23.5,8.5,orange,12.12,0,0,21.51,32.19,7.56,5.97,220.55,7630.82,0,17.17,5.79,5.62,2.47,12.03,64.2,0,3.11,11.63,1.9,0,0,0,0,1.52,0,26.57,357.65,65.36,0,0,28.01,0,0,0,0,0,34.64,31.2,77.21,0,0,44.63,8.08,10.77,34.96,8.16,1.66,0,5.46,4.27,0,4.39,0,0,0,0,0,0,0,10067.71,22648.51,15378.47,181.9,18.88,8.19,580.56,154.85,80.67,60.69,223.63,248.12,182.53,188.14,11.95,97.98,28.16,29.26,25.05,6.53,19.73,6.99,2.12,1.73,4.38,4.37,0.54,0.65
5455614,22.5,16.7,2.9,18,10.5,20.2,10.3,orange,12.99,0,0,14.41,17.86,6.66,4.18,176.93,6255.46,0,15.04,4.64,0.51,2.03,9.84,51.84,0,2.27,13.38,1.55,0,0,0,0,0.92,0,27.96,331.35,44.41,0,0,18.35,0,0,0,0,0,27.59,26.25,45.73,0,0,36.83,7.2,8.69,27.28,6.44,1.23,0,3.73,3.17,0,3.45,0,0,0,0,0,0,0,11095.54,24320.18,14584.39,180.25,23.04,8.5,555.02,171.67,103.39,80.64,265.32,248.48,193.74,215.85,15.82,107.96,28.72,27.98,25.87,9.52,31.39,17.55,2.68,3.54,3.48,5.81,0.83,0.96
3298943,17.9,9.6,2.6,23.2,11.6,18.5,9.8,orange,11.03,0,0,115.41,68.54,27.84,35.38,745.58,106430.9,0,0,45.25,64.93,11.83,210.1,452.32,0,7.81,118.22,0,0,0,0,0,83.43,321.03,810.87,1662.94,107.94,0,0,38.73,50.17,0,0,0,0,463.71,211.44,779.08,0,0,597.91,499.25,44.29,321.68,21.98,0,0,16.48,89.32,0,49.42,0,0,0,0,0,0,0,8509.12,17513.84,13149.13,151.36,17.51,6.11,527.12,135.81,109.99,71.28,197.63,294.21,161.01,169.29,10.5,87.83,26.26,30.62,27.92,6.19,36.35,14.1,2.03,2.22,4.8,4.97,0.53,0.66
7510250,22.2,16.5,3.4,19.1,10.5,25.8,10.1,orange,11.52,0,0,22.09,51.78,6.02,4.54,28.84,8096.88,0,28.12,2.24,1.52,3.48,7.18,65.59,0,2.89,14.62,2.01,2.66,0,0,0,5.68,7.27,64.55,288.47,57.92,0,0,24.7,0,0,0,0,0,51.05,49.03,60.02,0,0,69.59,11.06,20.72,3.81,8.89,1.94,0,4.59,4.35,0,6.4,0,0,0,0,0,0,0,10783.16,25311.16,18833.74,180.46,16.21,13.3,523.03,154.26,111.35,110.86,507.58,332.9,229.85,182.45,17.73,74.41,30.35,28.76,21.12,8.36,20.86,8.12,2.28,2.91,5.37,5.22,0.84,0.69
